hip,ra,dec,plx,e_plx,pm_ra,pm_de,hp_mag,b_v,gaia_source_id,gaia_match_sep_arcsec,gaia_in_v2,distance_ly,gaia_match_note
71681,219.9141246,-60.83948046,796.92,25.9,-3614.39,802.98,1.2429,0.9,,2251.741,False,4.092706921648346,no Gaia match
70890,217.44894744,-62.68135186,771.64,2.6,-3775.75,765.54,10.7613,1.807,5853498713190525696,0.054,True,4.226789694676273,position+magnitude match
71683,219.92040813,-60.83514522,754.81,4.11,-3679.25,473.67,0.1373,0.71,,2261.984,False,4.321034432506194,no Gaia match
87937,269.45402263,4.66828781,548.31,1.51,-798.58,10328.12,9.4901,1.57,4472832130942575872,0.395,True,5.948386861446992,position+magnitude match
54035,165.83588432,35.98146372,392.64,0.67,-580.27,-4765.85,7.5062,1.502,762815470562110464,0.102,True,8.306744091279542,position+magnitude match
32349,101.28854105,-16.71314306,379.21,1.58,-546.01,-1223.07,-1.0876,0.009,,7.244,False,8.600933519685663,rejected: magnitude mismatch (likely companion)
92403,282.45398294,-23.83576453,336.72,2.03,637.02,-191.64,10.4124,1.51,4075141768785646848,0.0,True,9.686267521976715,position+magnitude match
16537,53.23509022,-9.45830604,310.94,0.16,-975.17,19.49,3.8652,0.881,5164707970261890560,0.023,True,10.489354859458416,position+magnitude match
114046,346.44652121,-35.85629698,305.26,0.7,6768.2,1327.52,7.4182,1.483,6553614253923452800,0.054,True,10.684531219288475,position+magnitude match
57548,176.93351314,0.8075261,298.04,2.3,605.26,-1219.28,11.0693,1.746,3796072592206250624,0.008,True,10.943363306938664,position+magnitude match
91772,280.70212874,59.62236608,289.48,3.21,-1338.68,1809.15,9.9964,1.561,2154880616774131712,0.092,True,11.266961448113856,position+magnitude match
104214,316.71181137,38.74149513,286.82,6.78,4168.31,3269.2,5.3685,1.069,1872046609345556480,0.165,True,11.371452478906631,position+magnitude match
104217,316.71746849,38.73441383,285.88,0.54,4106.9,3144.68,6.1467,1.309,1872046574983497216,0.138,True,11.40884287113474,position+magnitude match
37279,114.82724202,5.22750758,284.56,1.26,-714.59,-1036.8,0.4607,0.432,,2403.512,False,11.461765532752318,no Gaia match
91768,280.700901,59.62601596,280.18,2.18,-1332.03,1807.48,8.9218,1.504,2154880616774131840,0.074,True,11.64094510671711,position+magnitude match
1475,4.58559072,44.02195596,278.76,0.77,2888.92,410.1,8.1451,1.56,385334230892516480,0.029,True,11.700243937437222,position+magnitude match
108870,330.82266485,-56.77980581,276.06,0.28,3960.93,-2539.23,4.831,1.056,6412595290592307840,0.122,True,11.81467796855756,position+magnitude match
8102,26.02136459,-15.93955572,273.96,0.17,-1721.05,854.16,3.6295,0.727,2452378776434477184,0.009,True,11.905241641115492,position+magnitude match
5643,18.12459164,-17.00053939,271.01,8.36,1208.53,640.73,11.9597,1.85,2358524597030794112,0.006,True,12.034832663001364,position+magnitude match
36208,111.85068496,5.23476427,262.98,1.39,572.51,-3693.51,9.8128,1.573,3139847906307949696,0.009,True,12.40231196288691,position+magnitude match
24186,77.89672072,-45.00448692,255.66,0.91,6505.08,-5730.84,8.932,1.543,4810594479418041856,0.318,True,12.75741218806227,position+magnitude match
105090,319.32379705,-38.86457457,253.41,0.8,-3260.29,-1146.22,6.753,1.397,6583272171336048640,0.014,True,12.87068387198611,position+magnitude match
110893,337.00174035,57.69701976,249.94,1.87,-865.47,-461.53,9.5728,1.613,,433.621,False,13.049371849243816,no Gaia match
30920,97.34581159,-2.81247675,242.32,3.12,705.28,-611.92,10.9841,1.69,,412.163,False,13.459722680752725,no Gaia match
3829,12.28823758,5.39519921,234.6,5.9,1236.9,-2709.19,12.5592,0.554,2552928187080872832,0.006,True,13.902642796248934,position+magnitude match
80824,247.57547799,-12.65971332,232.98,1.6,-94.81,-1183.43,10.0277,1.604,4330690742322011520,0.007,True,13.99931324577217,position+magnitude match
439,1.33455554,-37.35168099,230.42,0.9,5634.68,-2337.71,8.6181,1.462,2306965202564744064,0.043,True,14.154847669473137,position+magnitude match
86162,264.11002644,68.34222708,220.84,0.94,-320.57,-1269.33,9.1467,1.505,1637645127018395776,0.004,True,14.768882448831732,position+magnitude match
85523,262.16440394,-46.8930516,220.24,1.42,571.26,-880.83,9.4032,1.553,5951824121022278144,0.004,True,14.80911732655285,position+magnitude match
57367,176.41359803,-64.84067434,217.01,2.4,2663.91,-347.38,11.5851,0.196,5332606522595645952,0.026,True,15.029537809317542,position+magnitude match
113020,343.31731587,-14.26205823,213.28,2.12,959.84,-675.33,10.148,1.597,2603090003484152064,0.004,True,15.292385596399097,position+magnitude match
54211,166.383858,43.52448478,206.27,1.0,-4410.43,942.93,8.8028,1.491,778947814402602752,0.053,True,15.812090948756484,position+magnitude match
49908,152.84734583,49.45546436,205.21,0.54,-1362.32,-504.52,6.6688,1.326,823773494718931968,0.006,True,15.893767360265093,position+magnitude match
106440,323.3917345,-49.00701803,201.87,1.01,-46.05,-817.63,8.7047,1.521,6562924609150908416,0.013,True,16.156734532124634,position+magnitude match
19849,63.82349253,-7.64455857,200.62,0.23,-2240.12,-3420.27,4.5615,0.82,3195919528989223040,0.021,True,16.257402053633733,position+magnitude match
1242,3.86527706,-16.13230909,200.53,9.41,731.83,-607.73,11.4323,1.75,,1795.772,False,16.26469854884556,no Gaia match
86214,264.26766864,-44.31693544,196.9,2.15,-708.98,-937.4,10.8964,1.655,5955305209191546112,0.012,True,16.564550533265617,position+magnitude match
88601,271.3633862,2.50243905,196.72,0.83,124.16,-962.82,4.1502,0.86,4468557611984384512,1.919,True,16.579707198047984,position+magnitude match
112460,341.70961233,44.33510785,195.22,1.87,-705.36,-460.72,10.2245,1.54,1934263333784036736,0.003,True,16.707099682409588,position+magnitude match
97649,297.69450819,8.86738473,194.95,0.57,536.23,385.29,0.8273,0.221,,1087.021,False,16.730238522698127,no Gaia match
57544,176.91318963,78.68999307,186.86,1.7,743.61,481.4,10.7849,1.572,1129149723913123456,0.018,True,17.454564914909554,position+magnitude match
67155,206.42792999,14.89505754,185.49,1.1,1778.45,-1456.44,8.5016,1.435,3741297293732404352,0.007,True,17.583481589304004,position+magnitude match
21088,67.79185906,58.98205272,179.27,3.23,1302.66,-2046.7,10.7934,1.17,470826482637310080,0.028,True,18.193562782395265,position+magnitude match
33226,103.70610501,33.26914594,179.01,1.6,-723.99,-398.4,10.0119,1.58,939072613334579328,0.004,True,18.219987710183787,position+magnitude match
25878,82.86229427,-3.67214231,176.77,1.18,761.86,-2093.6,8.0146,1.474,3209938366665770752,0.004,True,18.45086836001584,position+magnitude match
103039,313.13835202,-16.9748137,175.03,3.4,-307.74,34.79,11.3693,1.653,6882963066420161664,0.01,True,18.634291264354683,position+magnitude match
29295,92.64458957,-21.86290756,173.81,0.99,-137.09,-713.66,8.1993,1.487,2940856402123426176,0.105,True,18.76508831482653,position+magnitude match
96100,293.08577729,69.66540164,173.77,0.18,598.07,-1738.4,4.8114,0.786,2261614264931057664,0.011,True,18.76940783794671,position+magnitude match
