simbad_ident,display_name,simbad_main_id,gaia_dr3_source_id,hip,name_type,fame_tier
HIP 32349,Sirius,* alf CMa,,32349,iau,0
HIP 91262,Vega,* alf Lyr,,91262,iau,0
HIP 69673,Arcturus,* alf Boo,,69673,iau,0
alf Cen A,Rigil Kentaurus (Alpha Centauri A),* alf Cen A,,71683,iau,0
HIP 24608,Capella,* alf Aur,,24608,iau,0
HIP 7588,Achernar,* alf Eri,,7588,iau,0
HIP 37279,Procyon,* alf CMi,,37279,iau,0
HIP 97649,Altair,* alf Aql,,97649,iau,0
HIP 21421,Aldebaran,* alf Tau,,21421,iau,0
HIP 113368,Fomalhaut,* alf PsA,,113368,iau,0
alf Cen B,Toliman (Alpha Centauri B),* alf Cen B,,71681,iau,0
HIP 37826,Pollux,* bet Gem,,37826,iau,0
HIP 49669,Regulus,* alf Leo,,49669,iau,0
HIP 36850,Castor,* alf Gem,,36850,iau,0
HIP 61084,Gacrux,* gam Cru,,61084,iau,0
HIP 62956,Alioth,* eps UMa,,62956,iau,0
HIP 67301,Alkaid,* eta UMa,,67301,iau,0
alf UMa,Dubhe (Alpha Ursae Majoris),* alf UMa,,54061,iau,0
HIP 14576,Algol,* bet Per,,14576,iau,0
alf Oph,Rasalhague (Alpha Ophiuchi),* alf Oph,,86032,iau,0
HIP 57632,Denebola,* bet Leo,,57632,iau,0
alf CrB,Alphecca (Alpha Coronae Borealis),* alf CrB,1222646935698492160,76267,iau,0
zet01 UMa,Mizar A (Zeta1 Ursae Majoris),* zet01 UMa,1563590579347125632,65378A,iau,0
bet UMa,Merak (Beta Ursae Majoris),* bet UMa,856096765753549056,53910,iau,0
gam UMa,Phecda (Gamma Ursae Majoris),* gam UMa,,58001,iau,0
del UMa,Megrez (Delta Ursae Majoris),* del UMa,1575287046603605888,59774,iau,0
tau Cet,Tau Ceti,* tau Cet,2452378776434477184,8102,bayer,0
eps Eri,Ran (Epsilon Eridani),* eps Eri,5164707970261890560,16537,iau,0
HIP 65477,Alcor,* g UMa,1565090003967879424,65477,iau,0
61 Cyg A,61 Cygni A,* 61 Cyg A,1872046609345556480,104214,flamsteed,0
Barnard's star,Barnard's Star,NAME Barnard's star,4472832130942575872,87937,iau,0
Proxima Cen,Proxima Centauri (Alpha Centauri C),NAME Proxima Centauri,5853498713190525696,70890,iau,0
Wolf 359,Wolf 359,Wolf 359,3864972938605115520,,catalog,0
TRAPPIST-1,TRAPPIST-1,TRAPPIST-1,2635476908753563008,,catalog,0
HIP 25428,Elnath,* bet Tau,,25428,iau,1
HIP 45238,Miaplacidus,* bet Car,,45238,iau,1
HIP 109268,Alnair,* alf Gru,,109268,iau,1
HIP 90185,Kaus Australis,* eps Sgr,,90185,iau,1
HIP 28360,Menkalinan,* bet Aur,,28360,iau,1
HIP 31681,Alhena,* gam Gem,,31681,iau,1
HIP 42913,Alsephina,* del01 Vel,,42913,iau,1
HIP 677,Alpheratz,* alf And,,677,iau,1
HIP 50583,Algieba,* gam Leo,,50583,iau,1
HIP 9884,Hamal,* alf Ari,,9884,iau,1
